EndJuvtoFI Thermal Time (DD),Fertile Tiller Number,Evapotranspiration (mm),Yield (t/ha)
159.577551,1.191982203,380.0220704,1.441388229
178.8313946,3.893417919,404.9303587,1.054911972
148.2507636,3.604797952,345.7491962,1.789834529
168.615383,3.743509773,412.9056732,1.084338263
133.8763432,2.015495776,397.491309,1.61323862
140.0557353,0.40014296,398.3506537,1.533912128
137.8667675,0.732088377,361.1009025,1.724579311
173.7935829,1.912252687,410.0172663,1.125245882
153.7893129,2.021583844,393.1225157,1.431433939
139.2680616,0.592959683,393.4051098,1.619022145
150.9885921,0.604152634,343.643288,1.765793343
160.8179741,0.803427218,347.6542125,1.705593899
133.1833271,3.849164351,394.3260244,1.613797123
133.8763432,2.218765955,333.6802727,1.909472757
160.4203915,0.178555123,401.9625906,1.19312637
147.2458268,2.161795966,398.868478,1.431680402
136.9999041,3.903621135,397.3841512,1.621251149
132.4919735,0.389954191,390.1480043,1.683420889
158.7496577,1.084060977,396.8755069,1.22469868
166.4372292,3.834870775,407.7075605,1.207672471
132.7642483,1.390014069,372.4516193,1.731034698
138.9938775,1.632570167,341.1618511,1.85495725
140.4082031,3.812469424,393.822502,1.515446817
131.5489004,3.153352863,347.5689679,1.897402979
162.7320036,0.056511991,368.1198338,1.449490561
166.2599278,1.72688557,400.7260656,1.199064288
153.1129739,3.276642055,399.243926,1.29158846
174.4006983,3.794797296,408.4196865,1.096709707
148.4944402,1.20449214,400.6291004,1.348841531
155.671187,0.937564656,348.1852098,1.693879438
161.8667148,0.035734791,405.9751837,1.192702294
160.557735,1.398102454,397.610772,1.216778833
138.6464376,3.532478964,365.0292718,1.695572479
138.1362903,0.713346488,393.0368223,1.608289411
154.7388514,1.140724445,394.2734792,1.35350364
142.8660372,0.904968056,367.993201,1.634220737
151.481109,1.58406006,394.6848912,1.442718106
134.3702977,1.847222447,370.7816574,1.72655533
174.4754723,1.957173022,410.1856995,1.096261974
132.726946,1.260319712,395.3205933,1.697759724
131.3827968,2.727556868,360.6000158,1.801126795
144.8387523,0.519812061,392.8382336,1.514440014
162.5071329,1.809915218,347.3467175,1.62627724
131.8840734,3.604797952,387.2828695,1.704104232
136.3020988,0.175994696,366.3764868,1.72326972
142.8625513,0.435181788,394.9235931,1.513189638
131.8742894,3.128532527,355.6855829,1.845103438
140.177558,3.878932117,385.1187722,1.641174015
132.3548127,1.344776825,393.996894,1.68333725
142.9575513,0.614942594,390.2084086,1.530734834
150.2571447,3.63132261,399.272794,1.357225762
153.8062261,1.136917661,373.7846297,1.553313358
186.248601,2.029665442,367.5960125,1.184773347
132.2899857,0.918414354,307.1202035,1.988640931
130.6790298,1.883578145,347.6288758,1.89736563
134.5495595,0.121617405,397.5564997,1.612649667
136.6460683,0.181668756,405.5884654,1.501302007
145.79763,0.528018997,367.1449955,1.631770878
147.5247351,2.969182838,397.8355825,1.430340973
144.9199571,1.657032374,333.85123,1.831523708
138.5215343,3.561192281,351.7556128,1.775060698
137.5039878,3.732370331,366.1709134,1.735519791
157.7354618,3.911959715,397.9857082,1.304930094
137.4420607,0.342624688,398.7952919,1.620829468
135.9881616,1.344776825,344.2251953,1.857551073
165.5502657,1.818380379,357.6605385,1.478735022
175.2820773,0.987502441,406.554403,1.073367231
174.778398,3.681135258,377.2181578,1.211975944
143.1858628,0.007101107,394.7391395,1.516809331
157.599705,3.018326898,402.0999156,1.214937938
160.3263515,3.273112208,397.6523607,1.313750594
141.5382532,0.253399862,391.3737328,1.635667615
175.0251627,2.270639876,373.7717993,1.2121523
143.0760509,2.561535652,375.3394748,1.631238287
144.5595763,2.339598993,397.7529664,1.420030438
134.396479,0.918414354,337.9875978,1.910307696
162.6502187,2.993091024,408.4776429,1.186716447
182.6506203,2.179196763,394.5402839,1.080148761
167.8814627,3.191674472,400.1835603,1.192082756
188.7953579,3.936486117,358.0922908,1.238575944
165.4417416,1.65270268,396.8921575,1.205782419
147.8881147,3.934390528,323.8639147,1.836660482
141.6432967,2.974259356,385.7215344,1.639067471
139.2688855,3.698564712,347.5975618,1.814903052
165.6574876,0.341498593,401.7697137,1.155258526
144.624194,0.715604529,367.6205303,1.633887181
150.5916053,1.807578928,391.3691328,1.546410612
164.9797719,0.140703001,338.9318086,1.716674454
158.5984323,1.200841935,354.8256605,1.588018317
133.480767,2.221429554,333.2381879,1.909899115
135.0702976,2.273448197,382.1263957,1.693694254
144.090155,1.261107315,391.0466155,1.5152327
168.7233483,1.574011941,411.1543988,1.120426226
177.6800034,1.415321197,352.7192575,1.387915284
142.0662058,3.838248778,369.1258525,1.699597526
148.2507636,3.656689951,388.1499432,1.54934098
174.202565,0.51132874,414.1354811,1.049296875
137.5711898,1.82619955,384.0861758,1.70141097
141.7848187,1.018816695,381.9335323,1.629866318
186.4463712,2.380696066,457.3635554,0.89185217
157.4543973,1.616273893,350.2658331,1.692568026
133.3968805,1.342341066,344.5449229,1.898943339
138.0811549,3.653630571,315.3398633,1.926951319
178.6039301,3.875274502,419.8278157,1.014659884
186.6616708,1.847222447,428.1147536,0.91784539
131.2127569,2.373254911,313.6580656,1.980659096
189.5710227,1.660164189,428.2646549,0.907314682
149.2797625,1.045163265,394.7204351,1.414011533
143.7432671,0.251695681,395.1643798,1.516234458
150.9885921,0.369663024,396.8368423,1.43303455
145.9094987,2.334340394,395.4259153,1.533744066
187.505123,3.286043767,426.6172083,0.928451204
144.0590099,0.20528351,337.6353453,1.828930498
132.5015282,1.162422238,308.1419819,1.988127641
139.4042044,0.564150871,393.5617039,1.527135174
131.4216631,1.11013159,405.5025066,1.584702561
132.2042026,2.944968555,392.955899,1.682532052
168.083312,3.068121837,398.8991245,1.197262419
130.3743598,3.153352863,346.938745,1.896925506
142.1084414,0.692277766,417.2127662,1.409007496
157.9049306,2.218765955,404.9705623,1.195426451
138.150242,2.287057826,380.8910631,1.702388116
134.2901777,3.319708275,393.1565888,1.600669665
143.0760509,0.136905048,396.5640382,1.526291374
142.04127,3.853093043,321.0190164,1.876987979
141.3289186,2.732633385,378.1996154,1.635978266
137.5030996,3.77097555,360.9155592,1.724348916
132.9488493,1.345248284,392.7802325,1.618740824
134.3765905,0.145331256,393.456511,1.60058428
178.0620938,1.415321197,370.1353667,1.222525984
141.7848187,1.019639158,313.7246311,1.938009903
165.1256205,3.018326898,411.1306088,1.155009392
136.0357149,2.988351216,373.8327912,1.693441452
137.8667675,1.982254358,364.7067143,1.724713958
133.8763432,2.231405746,340.2885551,1.906115549
130.8789279,1.556454815,378.2086508,1.736575146
145.8923103,0.07969697,363.6899401,1.633277348
165.3644319,1.377401461,398.3865591,1.193858503
147.8881147,3.982426431,396.9637207,1.545228374
131.9216392,1.206493311,354.4570053,1.845683469
133.480767,1.680859455,395.3856296,1.607833457
130.9606852,2.769228745,351.6154034,1.893280587
152.9312508,2.203149092,395.5341014,1.433371116
138.2954945,0.883604864,390.1735302,1.608651801
132.5831093,0.129578514,390.4920244,1.682524279
134.7189072,0.606590761,330.2369806,1.916523034
134.8427314,3.793655418,322.0174171,1.951363031
156.8131859,1.612140104,394.6425572,1.24736692
142.6294404,1.443166469,385.456025,1.626797923
142.8660372,2.546690242,359.1247036,1.732910945
180.3483315,0.128645454,348.8837617,1.472175614
154.1912646,3.525256811,371.9599009,1.540288156
132.2899857,0.886349473,394.1587526,1.683390418
136.3307109,3.682461816,363.3053276,1.724092761
136.6940431,3.936486117,352.118727,1.79959988
137.8282419,2.727556868,393.290546,1.608651068
136.2290333,0.179057488,365.899048,1.723432775
154.253614,1.087121874,396.2611624,1.440735668
155.671187,0.75561823,397.4382427,1.247764404
185.9652592,2.462448232,414.6532756,0.97664927
132.0702899,1.105371617,393.2595171,1.682652331
162.2550062,2.243830197,380.4459209,1.360763786
132.4007593,3.099970605,307.9431443,1.988174808
130.8056658,0.812744413,390.8684127,1.685728609
165.5502657,1.809948972,405.5986654,1.158118146
139.2764429,1.795780142,360.3275072,1.695513997
176.9824139,1.417091257,414.7342316,1.013761863
137.7131967,1.628889402,393.7554811,1.608770376
138.555398,3.536036212,399.050608,1.619110608
136.3637277,3.813449385,336.3956257,1.911444185
164.9797719,0.124764161,397.8308887,1.205420424
134.9517597,1.038167878,371.8280888,1.7264058
138.7545423,3.634462053,398.4741395,1.618896371
142.4470248,0.605176096,321.915298,1.875982814
138.6580075,2.593134625,390.252337,1.619924328
146.6413722,1.792338503,407.9888505,1.338336514
153.1023393,3.266747052,363.419693,1.666444597
130.8739004,1.310324893,393.248776,1.685428658
130.9100016,1.783319984,298.3130633,2.035856854
159.1762901,1.202460292,402.5103291,1.196141534
158.2463202,1.929419536,407.4769807,1.196139775
151.3054768,1.791466936,365.8237186,1.671886137
181.2613776,3.889003996,407.6728527,1.013828086
155.5961699,0.937564656,360.010602,1.584763836
152.220213,3.854700336,383.9400414,1.549568871
137.2280946,3.919795811,395.3685969,1.621091336
139.3443686,3.794730336,308.810322,1.931433386
141.7388176,3.625470636,377.2262229,1.632155114
158.7496577,0.741095422,344.5366916,1.707124759
133.6241449,0.584059214,398.592817,1.61838992
131.1916698,1.389416284,311.7005655,1.981737158
134.3688505,0.811316693,392.7624361,1.600624458
131.1046771,3.148698919,297.7941277,2.035934197
141.1892608,1.034742215,360.4214592,1.740281353
139.9217815,2.681764666,360.6280168,1.771047383
134.1763829,0.177262951,380.2618493,1.69466806
137.5039878,3.653953754,388.2321286,1.6417963
134.3558796,2.48300523,313.3801071,1.951232608
138.4828948,3.083892594,364.9803658,1.695684357
136.0157901,1.564431335,402.9007221,1.503295544
138.4546896,3.561192281,398.1442317,1.516310592
158.9838203,0.435181788,393.5050893,1.249654181
142.3138914,3.899933225,389.8164318,1.637762381
147.2237018,2.357371363,421.9512566,1.283761744
139.1541348,0.58096771,373.1744803,1.691796224
132.8483846,3.05968638,302.8717043,1.991915078
144.0590099,0.147816792,385.487448,1.63666213
138.0622561,2.540881692,391.918833,1.640242668
133.6860057,3.148698919,391.7461702,1.613586351
135.288729,3.987221062,367.200396,1.728141019
164.9693396,2.732633385,404.0365994,1.192082059
130.8484241,3.602029773,355.6705713,1.848194229
132.9922864,1.40588332,338.0472601,1.905355902
130.7947551,3.153352863,348.0086182,1.894845615
130.0325237,1.883578145,390.888939,1.67323986
141.9728133,3.866579098,399.5688496,1.508049796
138.5436592,2.612579381,371.4221439,1.69334153
134.7189072,0.460782596,346.1220106,1.853724251
131.4498847,1.200841935,391.9706917,1.68429639
142.4878114,0.809551015,361.6998382,1.73319741
132.4007593,3.10571964,382.1923312,1.733878427
133.480767,2.204806956,353.18052,1.843873378
133.3366146,3.944478489,359.2544172,1.757850858
145.4481683,2.010576266,390.1129126,1.545541164
168.083312,3.172758589,406.0345801,1.118947088
131.1916698,3.669722568,370.8802998,1.757131394
131.4288257,2.231405746,340.4555737,1.905494704
134.0839973,2.269571666,391.753046,1.613350258
147.8881147,3.996124953,348.7158633,1.756734512
132.4007593,3.081671704,392.5026186,1.682356583
135.0289361,1.344776825,355.393294,1.806784163
131.1046771,3.118684768,396.7728895,1.683680345
136.6747186,1.389416284,392.8001777,1.627388848
159.8674297,1.599116517,350.9405528,1.619039452
143.4282675,0.16445404,397.6133788,1.516862746
133.7038573,3.653630571,349.2227007,1.845321658
150.7506663,1.273638215,401.9991242,1.342975304
135.4170708,1.283924815,310.6882539,1.962770528
144.0269271,0.247028508,384.4214985,1.637114851
137.2280946,3.910452387,392.8346499,1.609262886
181.7596106,0.56701033,407.7602539,1.015593653
143.3968326,3.798797432,347.3259948,1.79066553
144.0590099,0.080445617,395.2167878,1.515765126
139.403865,3.59389724,393.0699348,1.618877018
137.2856156,0.866567095,308.8278763,1.961720334
145.2847323,2.531629926,347.1887838,1.759179818
138.561719,3.336923099,396.7774923,1.619537087
130.1892113,1.225210218,324.2405656,1.974805877
130.4912766,2.706115675,389.9769737,1.673083589
156.0842113,1.023617663,398.0892068,1.297916621
134.4948612,0.607826453,392.6441782,1.613061609
152.9216317,3.301819414,400.0326461,1.282798905
134.3747783,3.595744404,379.7969796,1.694702303
132.8096646,1.310449559,390.8344114,1.682129101
130.6990424,3.446157309,347.966916,1.89724129
136.9575964,1.477441493,395.6941639,1.609498709
141.8032892,0.140703001,391.8073436,1.508739914
132.9466982,1.783319984,348.5942541,1.847520813
136.4287028,3.936486117,343.4753889,1.854950648
139.8187375,3.793278655,394.41918,1.620718471
134.4310573,0.918414354,337.5990754,1.910550727
183.1792049,1.009703203,412.5914063,1.021776405
141.5232366,1.222002159,394.8346777,1.517005599
158.6303616,3.0189245,406.5887114,1.19624155
137.8259808,2.132613393,398.377641,1.517174771
142.6699615,0.253399862,388.9146964,1.637044691
135.5395489,3.561192281,395.0382117,1.610497563
132.0936857,1.824201526,393.0011055,1.682669542
132.0968312,1.193864467,393.7777174,1.682519111
132.4739336,1.294884659,393.388569,1.619113687
141.7848187,0.810887038,394.3562913,1.516732387
139.2688855,1.266827907,396.5801968,1.618425833
136.0330828,3.710030738,319.4140593,1.953861248
139.1367145,3.743354128,360.9471961,1.69554755
141.7848187,1.03770798,355.178358,1.7758064
153.1023393,3.277110511,399.068093,1.291969585
144.9199571,1.66401921,323.0822311,1.872449376
136.3487907,3.642498735,380.73407,1.689602983
132.8732226,0.918414354,361.5827671,1.843732262
130.8789279,1.814649067,349.5442374,1.893540685
181.2361268,3.820459243,415.4422942,1.024378443
138.2536408,2.231405746,390.6116001,1.60866902
134.4318614,2.206235054,392.6160304,1.613102492
155.134007,2.515647793,403.1927941,1.250722653
139.3443686,3.94135357,397.2577502,1.535670664
130.0857242,1.907630693,390.1746966,1.673313187
132.6407115,3.041459938,392.6723254,1.681999667
135.4483077,2.769228745,396.868063,1.59565089
130.2262412,1.92473773,357.8853221,1.79355433
140.1856799,0.537718709,395.0816013,1.535170928
154.6473301,3.844788649,399.9909362,1.244121224
158.3342535,0.741095422,334.5776132,1.783173068
141.2085238,2.904472669,366.0356668,1.693088099
130.2409067,3.555222492,351.6565046,1.894649049
143.3482682,0.605176096,398.7516138,1.517093173
130.2576646,0.942381542,342.6934933,1.903548993
136.6960486,1.068342694,361.5446819,1.771051175
132.7731195,3.915767433,383.9455427,1.743971875
136.6198458,3.564904134,381.0022438,1.69680747
156.9576531,0.738492696,401.2279917,1.213054068
136.4366633,3.786558112,309.5611034,1.960765556
136.2558787,0.007919408,368.7691487,1.730385216
138.5957316,3.932719976,393.4317858,1.60897941
133.342196,0.92101708,348.4101348,1.846632904
139.5957003,3.074557676,375.6626255,1.703163669
146.9321218,1.530229699,396.6132065,1.545411998
177.6800034,2.790757581,419.6426797,1.009017338
132.1349762,3.793655418,393.2354205,1.682571237
133.6663743,3.798797432,381.9737161,1.703843227
147.9921116,3.968509891,366.6946428,1.628744914
130.5526802,1.475197333,389.3632487,1.673091286
138.1196953,1.509529714,395.8605773,1.620265759
136.1811032,0.606590761,398.2591462,1.609915327
153.1023393,3.347768534,399.3075617,1.282702549
142.9028598,2.492751292,394.7867977,1.517092498
141.4070032,1.155865887,393.3126765,1.517566849
131.1939891,2.231405746,398.1268065,1.619927932
138.5539169,1.809915218,333.6094609,1.865449017
150.9885921,0.571514506,396.5338562,1.441922213
131.856814,1.783319984,346.0617653,1.894633847
130.4206983,3.148698919,393.0379964,1.685816889
132.4007593,3.216521869,380.9576586,1.734274159
130.0250421,1.218407347,352.5813635,1.894697566
133.0944226,1.367319008,292.8642076,2.049554011
134.124806,2.232422455,358.9359987,1.754899149
130.631388,3.148698919,392.3158717,1.672180225
137.1020143,3.73146326,392.9723381,1.609354599
131.109341,1.343671103,386.2371161,1.733932531
133.1072893,2.312052096,330.674287,1.940641695
138.4895132,3.048366328,390.8997137,1.620068926
130.1374248,1.815268709,397.8796877,1.612897847
140.0391925,0.635502544,348.7947832,1.789323749
132.8016617,3.05968638,342.1065628,1.899746495
130.735537,3.972183104,362.314897,1.793161371
139.6727784,3.887516932,391.0720404,1.618790542
135.1881842,1.344776825,384.1244799,1.691811371
133.77739,2.253008381,348.1393371,1.845647442
132.9746902,3.853093043,355.9606734,1.843847153
131.4355276,2.373254911,390.829859,1.671786409
158.3939164,0.7079938,396.6452015,1.300538395
132.2899857,0.515517061,327.7024088,1.942580353
137.4420607,3.624550635,398.2729931,1.620861355
131.9378269,1.632570167,340.3244611,1.900490175
144.8582996,1.593473424,394.765324,1.514520279
134.7096575,0.59534163,347.6478934,1.844560444
134.8530819,3.291798146,344.4437891,1.8574133
156.909876,1.719195343,401.4154336,1.217878452
153.1535191,3.769580727,400.5152155,1.284491818
156.3040102,0.460875586,416.9548279,1.1976873
133.9688754,2.218765955,345.0213442,1.852334666
132.2987834,0.962302035,343.0696042,1.900105675
131.5490875,3.37405268,393.583204,1.684191283
145.4165597,3.910915423,394.5170954,1.419234436
131.7145937,1.187812301,356.2224753,1.845218888
134.801441,1.807578928,336.8090161,1.912996914
142.8230385,0.453892785,393.5594271,1.634337825
132.7464661,3.040953585,300.0154547,2.035471031
132.8551759,3.978938853,308.4090891,1.988218547
134.555413,3.623005576,394.5364108,1.600454752
130.2864511,2.979573996,390.7500715,1.672332923
130.7870831,2.769228745,390.8527081,1.672138544
143.9187457,3.798654003,398.5961246,1.516216856
153.0274752,1.463021809,399.7256427,1.282593542
141.7848187,0.608494625,374.6903509,1.633001886
162.8323546,3.711752878,393.348006,1.264359444
180.0962215,0.128645454,414.1693729,1.01438676
145.2847323,2.471140139,390.0409128,1.545973007
133.8624894,2.238208618,366.7877086,1.732214295
139.1789387,3.710435439,361.4304944,1.77191118
136.6960486,1.054686195,339.9489734,1.860844888
131.7141342,1.317940045,359.7991469,1.792502192
135.8846618,2.997775558,366.0721813,1.728323085
134.5850164,1.390046669,392.6844212,1.61300271
133.6522233,0.918414354,393.8177631,1.613535652
136.4346988,3.803698353,398.6469324,1.621587402
130.5676247,0.937043232,390.5104237,1.685902472
150.9885921,0.546373983,392.5682755,1.425915551
133.0918039,3.653630571,395.140214,1.694359826
136.4287028,3.586374081,404.7192554,1.501932968
135.0452606,3.042827436,377.8906174,1.694986891
131.4082267,1.783043248,390.4618932,1.703514843
138.2949997,3.898295869,396.3619114,1.62214695
142.0589137,1.547016964,395.3680023,1.5153425
141.5679135,1.050273999,372.0638994,1.701720697
162.44747,1.824679818,356.5239819,1.58653853
136.9012835,3.551111212,361.7200038,1.769736016
131.1916698,1.558261873,317.0844349,1.978397421
130.3412095,1.783319984,316.8600971,1.978312757
147.9481434,3.311168254,400.143688,1.414686424
135.4263205,1.295173948,388.8808329,1.616627677
130.6990424,0.824223217,363.4233235,1.793074432
138.0811549,3.427523505,379.6441305,1.690364325
132.2621034,3.933762799,344.1240349,1.899738133
135.2885171,0.866567095,381.0611303,1.693960209
183.085639,0.788311912,413.318472,0.991586026
134.3558796,2.45468528,394.194635,1.600631484
144.3549869,1.556239731,395.7204405,1.525023635
131.8742894,3.065915622,383.1447155,1.734137142
130.2409067,3.663809547,390.7956298,1.672349698
132.8106199,3.890344771,407.1541518,1.505439136
131.2061517,0.880295702,328.6038155,1.942238202
144.0590099,0.120795997,394.8775961,1.515743981
133.4894281,3.86989722,394.6331669,1.613604034
136.3529894,1.390014069,350.3593354,1.842204288
141.8929273,2.237086054,394.3173149,1.504583524
146.3310699,3.853093043,365.1228891,1.632535462
131.4294758,2.268484138,395.9443132,1.590900957
135.0773488,1.623340554,396.587903,1.615041045
132.4007593,2.267629942,391.9346509,1.682463469
136.4366633,1.389041679,396.6708283,1.609782828
131.9802297,1.783319984,358.76694,1.792414534
131.2808087,1.807578928,356.2354381,1.846382704
140.6346905,0.496378317,342.8227811,1.822684064
132.2899857,0.842240312,390.4304022,1.682957845
132.3606683,0.9593567,392.935785,1.682327223
159.7545742,0.959792204,403.5284473,1.193309395
134.8427314,3.79056195,391.8997675,1.612863543
132.8483846,3.006954318,341.6254131,1.901844581
132.114113,0.604152634,327.841554,1.942580914
130.0984556,3.993984875,394.6929346,1.688283533
131.372444,2.373254911,360.893676,1.792645946
131.1450178,0.143919058,297.8259645,2.035936773
132.8675422,2.974752181,390.4449801,1.682872707
158.3342535,0.503722511,357.5957296,1.581810057
131.284338,0.879754669,383.0694201,1.734598462
132.0882101,3.538915201,359.3516002,1.844415212
133.413488,0.863811464,391.9642883,1.601236999
133.8763432,2.707637657,393.7900114,1.600981505
134.8427314,3.852778073,379.8595212,1.694438455
132.5503262,1.660545615,363.6680443,1.757635851
131.9379151,1.783319984,372.3016411,1.731784119
130.6876674,3.193990694,345.9828903,1.896589541
132.2976505,0.918414354,340.2174564,1.905215203
133.0651087,0.620395618,394.3026161,1.601455834
132.8520656,3.978938853,360.5978216,1.758228666
132.2952174,3.148698919,391.0240497,1.682842605
160.4075446,0.803427218,399.6993623,1.19551787
131.2286695,2.373254911,391.7403344,1.671884785
138.3056376,1.632570167,363.1103726,1.724926289
131.0569037,3.653630571,335.3593476,1.93930287
153.1023393,1.813309685,396.0600918,1.445357559
133.1430755,2.365604362,384.5270315,1.70373566
130.2756964,1.547076494,338.0195418,1.936106497
130.6701725,2.231405746,383.3940917,1.735104131
131.126578,0.614805343,341.1846736,1.903385935
130.3649834,1.822201692,358.349771,1.84837378
130.1892113,1.441360437,390.4353216,1.68598039
145.3347656,3.658914639,391.7684463,1.5136182
131.5489004,1.719848839,370.773934,1.756631837
133.8763432,2.198959058,329.9674332,1.903854056
133.1207171,2.935784912,393.9298219,1.601395054
144.9199571,3.140649056,397.7519712,1.418823892
133.9688754,3.001514858,394.4439212,1.616002902
136.5224801,3.98426571,361.2081707,1.77190672
135.7755968,0.962302035,393.2996207,1.610413085
130.424092,1.390014069,360.7639549,1.793622972
131.1916698,1.277313914,342.0434147,1.901375229
134.1092521,1.113238251,394.7923145,1.600883938
143.0272636,3.79151629,318.1801857,1.877001552
134.1021717,1.783319984,397.1707508,1.613106144
156.4410908,1.23958579,388.3846218,1.440916742
136.1097437,3.827598242,395.8146598,1.609960844
143.4578439,3.236699864,389.2653711,1.635649794
137.0806687,0.511694937,341.4910366,1.86275553
150.7615109,0.81408433,401.9566712,1.342965957
130.9272669,1.562546577,382.8721011,1.735205783
130.7760556,3.153352863,298.7300334,2.035267629
170.0615418,3.033279458,406.9391737,1.16560883
132.8551759,3.740721339,346.5708866,1.898914017
134.9234746,1.353020352,345.8250679,1.853591978
131.1046771,0.801190198,341.1392235,1.903410581
136.7261974,1.345096697,373.8458181,1.692588535
132.9347141,3.580532266,346.4635669,1.898855971
133.4976239,1.410291951,341.9116145,1.901126354
148.1587835,3.044427157,364.9998124,1.670967971
133.6305913,2.058493399,394.6002851,1.601180466
130.7861175,1.842940194,336.5803123,1.934379699
138.7047715,3.786558112,388.1986612,1.641023268
134.7389714,1.342265023,338.6913313,1.90976691
148.6800203,0.20528351,395.4949831,1.546243413
139.1929766,3.990523434,397.529593,1.514326491
130.6938119,0.515517061,390.111186,1.685880065
137.797679,0.866567095,393.8876075,1.608666273
132.2461908,3.933762799,359.4376589,1.843992745
130.3304685,3.387705754,385.8578173,1.734402605
135.1074419,2.48300523,402.2227482,1.503190994
132.0936857,3.29512152,323.1182506,1.944920918
131.1558838,1.337610246,405.4332315,1.584790416
149.9530975,3.602983965,396.4285275,1.543153327
